signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_110365	NA	16	AARS	-1.9253	0.144097521901131
LINCSCP_110365	NA	23	ABCF1	3.4086	0.026280453428626
LINCSCP_110365	NA	25	ABL1	-5.58115	0.017737722024322
LINCSCP_110365	NA	30	ACAA1	1.8501	0.120346404612064
LINCSCP_110365	NA	39	ACAT2	3.86845	0.076708994805813
LINCSCP_110365	NA	47	ACLY	-0.2444	0.809051394462585
LINCSCP_110365	NA	102	ADAM10	-0.8778	0.407724976539612
LINCSCP_110365	NA	128	ADH5	-1.80485	0.125389367341995
LINCSCP_110365	NA	142	PARP1	-2.44565	0.060206029564142
LINCSCP_110365	NA	154	ADRB2	-0.245	0.808581352233887
LINCSCP_110365	NA	178	AGL	1.26375	0.252223402261734
LINCSCP_110365	NA	207	AKT1	1.59395	0.231356903910637
LINCSCP_110365	NA	211	ALAS1	4.94015	0.009606890380383
LINCSCP_110365	NA	226	ALDOA	-3.21055	0.02926317974925
LINCSCP_110365	NA	230	ALDOC	4.2618	0.014965028502047
LINCSCP_110365	NA	291	SLC25A4	-2.47845	0.065096333622932
LINCSCP_110365	NA	310	ANXA7	-1.68635	0.391724914312363
LINCSCP_110365	NA	323	APBB2	1.1982	0.276199460029602
LINCSCP_110365	NA	329	BIRC2	-1.7658	0.131694480776787
LINCSCP_110365	NA	332	BIRC5	-2.86185	0.039396688342094
LINCSCP_110365	NA	348	APOE	5.0704	0.006306521594524
LINCSCP_110365	NA	351	APP	-0.9643	0.645868360996246
LINCSCP_110365	NA	355	FAS	0.49505	0.786844193935394
LINCSCP_110365	NA	387	RHOA	-3.8391	0.015537892468274
LINCSCP_110365	NA	392	ARHGAP1	4.1858	0.013187997974455
LINCSCP_110365	NA	427	ASAH1	2.0797	0.094193480908871
LINCSCP_110365	NA	466	ATF1	-10	0.000536844483577
LINCSCP_110365	NA	481	ATP1B1	-10	0.000536844483577
LINCSCP_110365	NA	501	ALDH7A1	3.5493	0.023033713921905
LINCSCP_110365	NA	533	ATP6V0B	-1.3788	0.235455021262169
LINCSCP_110365	NA	572	BAD	0.4169	0.682849168777466
LINCSCP_110365	NA	581	BAX	4.5086	0.013225176371634
LINCSCP_110365	NA	595	CCND1	1.86125	0.273697972297668
LINCSCP_110365	NA	596	BCL2	2.774	0.090920902788639
LINCSCP_110365	NA	622	BDH1	-1.60735	0.165064007043839
LINCSCP_110365	NA	637	BID	2.2193	0.084182284772396
LINCSCP_110365	NA	642	BLMH	-5.2225	0.008837045170367
LINCSCP_110365	NA	644	BLVRA	-7.73015	0.002605771180242
LINCSCP_110365	NA	652	BMP4	5.216	0.032982219010592
LINCSCP_110365	NA	664	BNIP3	-3.58695	0.14139661192894
LINCSCP_110365	NA	665	BNIP3L	-7.1961	0.002788167214021
LINCSCP_110365	NA	670	BPHL	3.9103	0.016470573842526
LINCSCP_110365	NA	672	BRCA1	-5.73035	0.004164408892393
LINCSCP_110365	NA	695	BTK	1.8839	0.115245707333088
LINCSCP_110365	NA	701	BUB1B	3.55005	0.026569290086627
LINCSCP_110365	NA	727	C5	5.5503	0.019624255597591
LINCSCP_110365	NA	780	DDR1	1.0397	0.526393890380859
LINCSCP_110365	NA	808	CALM3	6.8741	0.005931401625276
LINCSCP_110365	NA	813	CALU	-1.1601	0.32160747051239
